Date,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
02/01/2018,1.3,-3.6,-72.9,1,1,1,1
02/02/2018,0,-3.6,-72.14,1,1,1,1
02/03/2018,0.8,-3.58,-73.24,1,1,1,1
02/04/2018,48.5,-3.6,-74.17,1,1,1,1
02/05/2018,39.9,-4.16,-73.99,1,1,1,1
02/06/2018,89.1,-2.96,-74.39,1,1,1,1
02/07/2018,248,-1.8,-73.38,1,1,1,1
02/08/2018,163.2,-3,-72.69,1,1,1,1
02/09/2018,16.2,-3.38,-72.36,1,1,1,1
02/10/2018,1.3,-3.32,-72.34,1,1,1,1
02/11/2018,8.8,-3.26,-72.63,1,1,1,1
02/12/2018,3.3,-3.56,-72.4,1,1,1,1
02/01/2019,0,-3.46,-71.9,1,1,1,1
02/02/2019,2.3,-3.48,-71.45,1,1,1,1
02/03/2019,9.4,-3.78,-72.09,1,1,1,1
02/04/2019,30.1,-3.92,-72.58,1,1,1,1
02/05/2019,9,-4.72,-73.73,1,1,1,1
02/06/2019,8.6,-5.38,-74.58,1,1,1,1
02/07/2019,186.1,-4.62,-74.52,1,1,1,1
02/08/2019,140.3,-3.62,-73.72,1,1,1,1
02/09/2019,15.4,-4.4,-73.88,1,1,1,1
02/10/2019,6.7,-4.94,-73.89,1,1,1,1
02/11/2019,10.3,-5.86,-74.34,1,1,1,1
02/12/2019,3.7,-5.86,-74.41,1,1,1,1
02/01/2020,4.6,-2.84,-72.99,1,1,1,1
02/02/2020,21.6,-2.81,-72.28,1,1,1,1
02/03/2020,12.7,-2.83,-72.41,1,1,1,1
02/04/2020,38.6,-2.89,-72.49,1,1,1,1
02/05/2020,59.6,-3.08,-72.73,1,1,1,1
02/06/2020,33,-3.39,-73.88,1,1,1,1
02/07/2020,77.6,-3.73,-75.12,1,1,1,1
02/08/2020,174.8,-2.79,-73.62,1,1,1,1
02/09/2020,96.1,-2.42,-72.9,1,1,1,1
02/10/2020,0.1,-2.77,-72.5,1,1,1,1
02/11/2020,38.1,-2.72,-72.82,1,1,1,1
02/12/2020,0.3,-2.77,-72.48,1,1,1,1
